oblast,raion,geo_id,total_alert_records,active_days,total_allocated_alert_minutes,average_duration_per_valid_alert,median_duration,longest_valid_alert
Volynska oblast,Lutskyi raion,Volynska oblast | Lutskyi raion,84,51,4733.933333333333,56.35634920634921,33.699999999999996,365.76666666666665
Volynska oblast,Volodymyr-Volynskyi raion,Volynska oblast | Volodymyr-Volynskyi raion,68,44,3229.883333333333,47.49828431372549,26.808333333333334,365.76666666666665
Zakarpatska oblast,Berehivskyi raion,Zakarpatska oblast | Berehivskyi raion,63,41,2924.7333333333336,46.424338624338624,26.8,365.3
Zakarpatska oblast,Khustskyi raion,Zakarpatska oblast | Khustskyi raion,63,41,2924.7333333333336,46.424338624338624,26.8,365.3
Zakarpatska oblast,Mukachivskyi raion,Zakarpatska oblast | Mukachivskyi raion,63,41,2924.7333333333336,46.424338624338624,26.8,365.3
Zakarpatska oblast,Rakhivskyi raion,Zakarpatska oblast | Rakhivskyi raion,64,42,2952.2166666666667,46.12838541666667,26.80833333333333,365.3
Zakarpatska oblast,Tiachivskyi raion,Zakarpatska oblast | Tiachivskyi raion,63,41,2924.7333333333336,46.424338624338624,26.8,365.3
Zakarpatska oblast,Uzhhorodskyi raion,Zakarpatska oblast | Uzhhorodskyi raion,63,41,2924.7333333333336,46.424338624338624,26.8,365.3
Zaporizka oblast,Berdianskyi raion,Zaporizka oblast | Berdianskyi raion,859,172,195862.53333333333,228.141792782305,144.21666666666667,2495.4166666666665
Zaporizka oblast,Melitopolskyi raion,Zaporizka oblast | Melitopolskyi raion,859,172,195862.58333333334,228.1418509895227,144.21666666666667,2495.4166666666665
Zaporizka oblast,Polohivskyi raion,Zaporizka oblast | Polohivskyi raion,859,172,195464.68333333332,227.67830811020565,144.21666666666667,2495.4166666666665
Zaporizka oblast,Vasylivskyi raion,Zaporizka oblast | Vasylivskyi raion,859,172,195860.38333333333,228.1392898719441,144.21666666666667,2495.4166666666665
Zaporizka oblast,Zaporizkyi raion,Zaporizka oblast | Zaporizkyi raion,859,172,195465.13333333333,227.679006596818,144.21666666666667,2494.983333333333
Zhytomyrska oblast,Berdychivskyi raion,Zhytomyrska oblast | Berdychivskyi raion,155,95,11140.1,71.87161290322581,32.2,471.1666666666667
Zhytomyrska oblast,Korostenskyi raion,Zhytomyrska oblast | Korostenskyi raion,259,118,25476.38333333333,98.36441441441441,54.95,750.2
Zhytomyrska oblast,Zhytomyrskyi raion,Zhytomyrska oblast | Zhytomyrskyi raion,203,110,15741.283333333333,77.54326765188834,36.41666666666666,611.5666666666667
Zhytomyrska oblast,Zviahelskyi raion,Zhytomyrska oblast | Zviahelskyi raion,165,96,12214.583333333334,74.02777777777779,32.55,372.23333333333335
