oblast,raion,geo_id,first_date,last_date,records
Odeska oblast,Berezivskyi raion,Odeska oblast | Berezivskyi raion,2026-01-01,2026-06-23,269
Odeska oblast,Bilhorod-Dnistrovskyi raion,Odeska oblast | Bilhorod-Dnistrovskyi raion,2026-01-01,2026-06-23,453
Odeska oblast,Bolhradskyi raion,Odeska oblast | Bolhradskyi raion,2026-01-01,2026-06-23,453
Odeska oblast,Izmailskyi raion,Odeska oblast | Izmailskyi raion,2026-01-01,2026-06-23,453
Odeska oblast,Odeskyi raion,Odeska oblast | Odeskyi raion,2026-01-01,2026-06-23,652
Odeska oblast,Podilskyi raion,Odeska oblast | Podilskyi raion,2026-01-01,2026-06-23,269
Odeska oblast,Rozdilnianskyi raion,Odeska oblast | Rozdilnianskyi raion,2026-01-01,2026-06-23,269
Poltavska oblast,Kremenchutskyi raion,Poltavska oblast | Kremenchutskyi raion,2026-01-01,2026-06-23,517
Poltavska oblast,Lubenskyi raion,Poltavska oblast | Lubenskyi raion,2026-01-01,2026-06-23,580
Poltavska oblast,Myrhorodskyi raion,Poltavska oblast | Myrhorodskyi raion,2026-01-01,2026-06-23,668
Poltavska oblast,Poltavskyi raion,Poltavska oblast | Poltavskyi raion,2026-01-01,2026-06-23,771
Rivnenska oblast,Dubenskyi raion,Rivnenska oblast | Dubenskyi raion,2026-01-01,2026-06-23,77
Rivnenska oblast,Rivnenskyi raion,Rivnenska oblast | Rivnenskyi raion,2026-01-01,2026-06-23,113
Rivnenska oblast,Sarnenskyi raion,Rivnenska oblast | Sarnenskyi raion,2026-01-01,2026-06-23,136
Rivnenska oblast,Varaskyi raion,Rivnenska oblast | Varaskyi raion,2026-01-01,2026-06-23,106
Sumska oblast,Konotopskyi raion,Sumska oblast | Konotopskyi raion,2026-01-01,2026-06-23,948
Sumska oblast,Okhtyrskyi raion,Sumska oblast | Okhtyrskyi raion,2026-01-01,2026-06-23,903
Sumska oblast,Romenskyi raion,Sumska oblast | Romenskyi raion,2026-01-01,2026-06-23,662
Sumska oblast,Shostkynskyi raion,Sumska oblast | Shostkynskyi raion,2026-01-01,2026-06-23,932
Sumska oblast,Sumskyi raion,Sumska oblast | Sumskyi raion,2026-01-01,2026-06-23,1021
Ternopilska oblast,Chortkivskyi raion,Ternopilska oblast | Chortkivskyi raion,2026-01-04,2026-06-23,78
Ternopilska oblast,Kremenetskyi raion,Ternopilska oblast | Kremenetskyi raion,2026-01-04,2026-06-23,78
Ternopilska oblast,Ternopilskyi raion,Ternopilska oblast | Ternopilskyi raion,2026-01-04,2026-06-23,78
Vinnytska oblast,Haisynskyi raion,Vinnytska oblast | Haisynskyi raion,2026-01-01,2026-06-23,154
Vinnytska oblast,Khmilnytskyi raion,Vinnytska oblast | Khmilnytskyi raion,2026-01-01,2026-06-23,152
Vinnytska oblast,Mohyliv-Podilskyi raion,Vinnytska oblast | Mohyliv-Podilskyi raion,2026-01-01,2026-06-23,144
Vinnytska oblast,Tulchynskyi raion,Vinnytska oblast | Tulchynskyi raion,2026-01-01,2026-06-23,149
Vinnytska oblast,Vinnytskyi raion,Vinnytska oblast | Vinnytskyi raion,2026-01-01,2026-06-23,157
Vinnytska oblast,Zhmerynskyi raion,Vinnytska oblast | Zhmerynskyi raion,2026-01-01,2026-06-23,146
Volynska oblast,Kamin-Kashyrskyi raion,Volynska oblast | Kamin-Kashyrskyi raion,2026-01-01,2026-06-23,86
Volynska oblast,Kovelskyi raion,Volynska oblast | Kovelskyi raion,2026-01-01,2026-06-23,79
Volynska oblast,Lutskyi raion,Volynska oblast | Lutskyi raion,2026-01-01,2026-06-23,84
Volynska oblast,Volodymyr-Volynskyi raion,Volynska oblast | Volodymyr-Volynskyi raion,2026-01-04,2026-06-23,68
Zakarpatska oblast,Berehivskyi raion,Zakarpatska oblast | Berehivskyi raion,2026-01-04,2026-06-23,63
Zakarpatska oblast,Khustskyi raion,Zakarpatska oblast | Khustskyi raion,2026-01-04,2026-06-23,63
Zakarpatska oblast,Mukachivskyi raion,Zakarpatska oblast | Mukachivskyi raion,2026-01-04,2026-06-23,63
Zakarpatska oblast,Rakhivskyi raion,Zakarpatska oblast | Rakhivskyi raion,2026-01-04,2026-06-23,64
Zakarpatska oblast,Tiachivskyi raion,Zakarpatska oblast | Tiachivskyi raion,2026-01-04,2026-06-23,63
Zakarpatska oblast,Uzhhorodskyi raion,Zakarpatska oblast | Uzhhorodskyi raion,2026-01-04,2026-06-23,63
Zaporizka oblast,Berdianskyi raion,Zaporizka oblast | Berdianskyi raion,2026-01-01,2026-06-23,859
Zaporizka oblast,Melitopolskyi raion,Zaporizka oblast | Melitopolskyi raion,2026-01-01,2026-06-23,859
Zaporizka oblast,Polohivskyi raion,Zaporizka oblast | Polohivskyi raion,2026-01-01,2026-06-23,859
Zaporizka oblast,Vasylivskyi raion,Zaporizka oblast | Vasylivskyi raion,2026-01-01,2026-06-23,859
Zaporizka oblast,Zaporizkyi raion,Zaporizka oblast | Zaporizkyi raion,2026-01-01,2026-06-23,859
Zhytomyrska oblast,Berdychivskyi raion,Zhytomyrska oblast | Berdychivskyi raion,2026-01-01,2026-06-23,155
Zhytomyrska oblast,Korostenskyi raion,Zhytomyrska oblast | Korostenskyi raion,2026-01-01,2026-06-23,259
Zhytomyrska oblast,Zhytomyrskyi raion,Zhytomyrska oblast | Zhytomyrskyi raion,2026-01-01,2026-06-23,203
Zhytomyrska oblast,Zviahelskyi raion,Zhytomyrska oblast | Zviahelskyi raion,2026-01-01,2026-06-23,165
